,번호,명칭,요약,출원일,출원인,독립 청구항수,전체 청구항수,국제특허분류,자국인용특허,외국인용특허,자국피인용특허,자국인용횟수,자국피인용횟수,특허평가등급,발명자수,발명자국가,출원인대표명,국가,연도,외국인용횟수
80,KR20090099344A,"여신 업무 지원 장치 및 방법, 이를 이용한 여신 업무 자동화 시스템 및 방법{APPARATUS AND METHOD FOR SUPPORTING LOAN BUSINESS, SYSTEM AND METHOD FOR AUTOMATING LOAN BUSINESS BY USING THE SEAM}","본 발명은 여신 업무 지원 장치 및 방법, 이를 이용한 여신 업무 자동화 시스템 및 방법에 관한 것으로, 개시된 여신 업무 지원 장치는 전자 등기 서비스를 제공할 수 있는 전자 등기 데이터를 저장하는 데이터 저장부와, 원장 정보를 관리하는 여신 관리 장치와의 연동에 의해 여신 업무를 처리하는 여신 업무 처리부와, 여신 업무에 의해 발생한 여신 등기 업무에 맞추어서 입력된 전자 등기 대리 신청 정보에 의거하여 전자 등기 서비스를 제공하는 전자 등기 처리부를 포함하며, 부동산담보대출 등과 같은 여신 업무와 이러한 여신 업무에 따른 근저당권의 설정, 보존, 이전, 변경, 경정, 말소 등과 같은 여신 등기 업무를 온라인으로 처리할 수 있는 이점이 있다.",2009.10.19,웹케시 주식회사,2,4,"['G06Q40', 'G06Q10']","KR20010035511A,KR20010082393A,KR20030011422A,KR20050029344A",,"KR1192888B1,KR20170072656A",4,2,B0,1,['KR'],웹케시 주식회사,KR,2009,0
81,KR20090107142A,실시간 동산담보대출 방법 및 그 시스템{METHOD AND SYSTEM FOR REAL TIME PERSONALTY MORTGAGE LOAN},"본 발명은 실시간 동산담보대출 방법 및 그 시스템에 관한 것이다.이러한 본 발명에 따르면, 기업 고객으로부터 동산담보대출 신청을 접수하면 담보 대상 동산을 관리하는 물류 시스템으로 상기 동산의 배송정보를 요청하여 확인하고, 상기 동산을 감정하여 상기 동산의 평가액을 산정하며, 상기 평가액의 일정 비율을 대출금으로 결정하여 상기 기업고객으로 통보한다. 그리고, 상기 기업 고객과의 동산담보대출 계약으로 동산담보등기가 설정되면 상기 대출금을 지급하고 상기 동산의 출고 금지 명령을 상기 물류 시스템으로 전송한다. 이후, 상기 구매 기업으로부터 상기 대출금의 상환이 이루어지면 출고 금지 해제 명령을 상기 물류 시스템으로 전송한다.이로써, 본 발명에 따르면 금융기관이 고객 기업의 동산을 대상으로 하는 담보대출서비스를 제공함으로써 기업의 자금조달 여건을 개선하는 효과가 있다.",2009.11.06,주식회사 하나은행,2,13,"['G06Q40', 'G06Q10', 'G06Q30', 'G06Q50']","KR20090002041A,KR20090036622A,KR20090094782A",,"KR1303301B1,KR20140055722A,KR20170082896A,KR20180046040A,KR20180127732A,KR20190050675A,KR20200070951A,KR20200129411A,KR20210088896A,KR2030760B1,KR2054614B1",3,11,B0,1,['KR'],주식회사 하나은행,KR,2009,0
82,KR20090077504A,온라인쇼핑몰 매출채권의 심사 및 대출서비스방법{Service Method for Loan using of Trade Receivables Collateral by Online Shopping mall},"본 발명은 온라인쇼핑몰 매출채권의 심사 및 대출 서비스방법에 관한 것으로서, 온라인쇼핑몰의 벤더로부터의 대출요청에 따라, 온라인쇼핑몰에서 제공하는 전자장부 화면에서 해당 벤더회원의 물품 판매현황과 온라인쇼핑몰 간의 정산예정금액 등 대출에 필요한 데이터를 추출한 후 해당 데이터를 기반으로 자동 심사과정을 통해 대출가능금액을 자동 산출 및 대출을 수행하도록 하는데 그 목적이 있다.본 발명의 목적은 벤더회원이 대출심사서버에 접속하여 대출을 요청함에 따라 대출심사서버가 전자장부DB의 전자장부 화면에서 대출심사에 필요한 데이터를 스크랩핑하여 벤더회원DB에 저장하는 과정, 스크랩핑한 데이터를 기반으로 벤더회원과 온라인쇼핑몰의 정산예정금액에 추천승인요율을 적용하여 대출 가능금액을 자동 산출하는 과정, 벤더회원의 평가 데이터에 따라 최종승인요율 적용한 최종 대출가능금액을 확정하여 벤더회원에게 송금하는 과정, 상기 벤더회원의 전자장부를 설정된 주기로 자동 접속하여 벤더회원의 정보변경 및 매출정보를 모니터링하는 과정, 온라인쇼핑몰로부터 벤더회원의 정산계좌로 정산예정금액이 이체됨에 상환계좌로 원리금을 회수 이체하는 과정을 포함하여 이루어진 것을 특징으로 한다.",2009.08.21,최호식,1,4,"['G06Q40', 'G06Q30']","KR0851945B1,KR20040082137A",,"KR1404486B1,KR1755584B1,KR1839925B1,KR20110114181A,KR20130017845A,KR20130139766A,KR20140069909A,KR20150062161A,KR20160072649A,KR20160072655A,KR20170076100A,KR20170082825A,KR20170128746A,KR20200055439A,KR20220048829A,KR2110310B1",2,16,B0,1,['KR'],최호식,KR,2009,0
83,KR20100014001A,객실키 자동판매기용 키-디스펜서{A KEY-DISPENCER FOR GUEST ROOM KEY-AUTOMATIC LOAN SYSTEM},"본 발명은 객실키 자동판매기용 키-디스펜서에 관한 것으로, 이의 목적은 사용자가 서있는 상태에서 원하는 객실의 객실-키를 직접 꺼내 용이하게 대여할 수 있도록 하며 보관하고자 하는 객실-키 수를 용이하게 확장할 수 객실 수가 많은 숙박업소에서도 용이하게 적용할 수 있도록 하는 것이다. 이를 위해 본 발명에 따른 객실키 자동판매기용 키-디스펜서에 의하면; 내부에는 전후로 개방된 포켓-수용공간(212)이 형성되고 전면 하단에는 객실선택버튼(211)이 마련되며, 객실키 자동판매기의 전면패널(110)에 장착되는 케이스(210)와; 내부에 객실-키(20)(21)를 담아 보관할 수 있도록 상부가 개방된 포켓형태로 이루어져 상기 케이스(210)의 포켓-수용공간(212)에 수용 배치되며, 양측이 상기 케이스(210)의 개방된 전면부를 통해 전방측으로 소정각도 회전 가능하여 객실-키(20)(21)를 넣거나 빼낼 수 있도록 개폐되는 키-포켓(220)과; 상기 키-포켓(220)의 후면에 후방측으로 돌출되게 배치된 섹터기어(230)와; 상기 케이스(210)의 후방부에 장착되며 상기 섹터기어(230)와 이물림된 구동기어(241)를 정방향으로 구동시켜 상기 키-포켓(220)을 개방 동작시키거나 상기 구동기어(241)를 역방향으로 구동시켜 상기 키-포켓(220)을 폐쇄 동작시키는 정역모터(240)와; 상기 케이스(210)의 후방부에 배치된 회로기판(213)의 전면에 장착되며 상기 키-포켓(220)이 상기 케이스(210)의 포켓-수용공간(212)에 완전하게 수용되면 상기 키-포켓(220)의 후면과 접하면서 가동스프링(251)이 눌려져 상기 정역모터(240)의 역방향 구동을 중지시키도록 하는 제1마이크로스위치(250)와; 상기 회로기판(213)의 후면에 장착되며 상기 키-포켓(220)이 상기 케이스(210)의 전방측으로 소정각도 회전하여 개방되면 상기 섹터기어(230)의 후단에 마련된 누름부(231)를 통해 가동스프링(261)이 눌려져 상기 정역모터(240)의 정방향 구동을 중지시키도록 하는 제2마이크로스위치(260)를; 구비하는 것을 특징으로 한다.",2010.02.17,이종필,1,6,"['G06Q50', 'G07F17']",KR0349216Y1,"JP09265564 A,JP09265564 A,JP2002029595 A,JP2002056447 A,JP2002056447 A,JP2003217012 A,JP2003217012 A","KR1461427B1,KR2009379B1",1,2,B0,1,['KR'],이종필,KR,2010,7
84,KR20090027818A,온라인 고객 맞춤 대출 중개 시스템{ON-LINE LOAN INTERMEDIATION SYSTEM},"본 발명은 온라인 고객 맞춤 대출 중개 시스템에 관한 것으로, 다수 금융업체의 대출 가능한 조건정보를 등록한 상태에서, 고객이 대출 서류를 접수하면 고객의 대출 조건과 매칭되는 금융업체를 선별하여 대출 중개를 수행하고, 1회의 신용조회 정보를 대출 가능한 금융업체가 공유할 수 있도록 함으로써 경제적, 시간적으로 유리하고, 여신 업무의 효율성을 증대시키도록 한 온라인 고객 맞춤 대출 중개 시스템을 제공하는 데 그 목적이 있다.본 발명은 고객에 대한 1회의 신용평가 정보를 통해 그 신용평가 정보를 다수의 대출업체로 대출이 성사될 때까지 순차 전송하게 되므로, 고객이 다수의 대출업체를 일일이 방문하지 않아도 되므로 경제적, 시간적으로 유리하며, 빈번한 신용조회를 통해 신용도가 낮아지지도 않고, 대출업체도 손쉽게 자사의 대출 조건에 부합되는 대출 고객을 선별적으로 확보할 수 있으므로 업무 효율성이 높아지게 된다는 장점이 있다.",2009.03.31,주식회사 우리은행,1,7,"['G06Q40', 'G06Q30']","KR20080071211A,KR20090029251A",,"KR1324985B1,KR1627526B1,KR1662014B1,KR1683267B1,KR1694363B1,KR1695872B1,KR1900614B1,KR20140047304A,KR20150002436U,KR20160029448A,KR20160061183A,KR20170013444A,KR20170036661A,KR20170041959A,KR20190082155A,KR20190083943A,KR20210090535A,KR2166744B1",2,18,B0,1,['KR'],주식회사 우리은행,KR,2009,0
85,KR20090008782A,공모주 청약 대출방법{Method for loan for public subscrioption},"공모주 청약 대출방법이 개시된다. 상기 공모주 청약 대출방법은 공모주 청약 대출시스템이 단말기로부터 공모주 청약자금 대출을 신청받는 단계, 상기 공모주의 청약경쟁률에 따라 대출금을 산정하는 단계, 및 산정된 대출금에 상응하는 대출을 실행하는 단계를 포함한다.",2009.02.04,주식회사 씽크풀,1,16,['G06Q40'],"KR20020063448A,KR20030006320A,KR20030088679A,KR20060122519A,KR20070091896A",JP2006004449 A,"KR1892050B1,KR20170108217A,KR20180050182A,KR20180103033A,KR20180103034A,KR20180103035A,KR20210011489A",5,7,B0,4,['KR'],주식회사 씽크풀,KR,2009,1
86,KR20170052474A,금전신탁을 이용한 P2P 대출 운영 방법{Method for Operating P2P Loan by using Money Trust},"본 발명은 금전신탁을 이용한 P2P 대출 운영 방법에 관한 것으로, 복수의 투자자로부터 투자예치금을 모집하여 지정된 대부업체를 통해 대출자에게 대출해주는 P2P 대출을 운영하는 운영사에 구비된 운영사서버와 금융기관 명의의 회수금관리 신탁계좌를 개설하여 운영하는 금융기관에 구비된 금융기관서버를 통해 실행되는 방법에 있어서, 대출자단말을 통해 운영사서버로 대출자의 회원 가입 시, 상기 운영사서버에서 상기 대출자단말로부터 등록되는 대출자의 개인정보 중 지정된 일부 개인정보를 상기 금융기관서버로 공유 전달하여 상기 금융기관서버의 데이터베이스에 등록되고 상기 대출자의 대출 후 상기 대출자가 상환하는 원금과 이자금 중 적어도 하나를 포함하는 대출원리금을 상기 금융기관에 개설된 상기 금융기관 명의의 회수금관리 신탁계좌에 자동으로 최종 예치하기 위한 상기 대출자 명의의 가상계좌가 개설되도록 처리하고, 지정된 대부업체를 통해 지정된 대출자에게 대출 승인 시, 상기 운영사서버에서 상기 금융기관 명의의 투자예치금 신탁계좌에 예치된 N(N≥1)명의 투자자의 투자예치금을 근거로 상기 대부업체를 통해 상기 대출자에게 대출된 대출금액에 대하여 상기 대부업체를 위탁자로 지정하고 상기 금융기관을 수탁자로 지정하고 상기 운영사를 수익자로 지정하는 원리금 회수용 금전채권신탁계약이 처리되도록 처리하는 절차를 수행하여 상기 대출자에게 대출된 대출금액에 대응하는 채권을 상기 운영사의 금융 자산과 구별하여 관리되게 처리하고, 상기 대출자 명의의 가상계좌를 통해 상기 대출자의 대출원리금 입금 시, 상기 운영사서버에서 상기 금융기관서버와 연동하여 상기 대출자 명의의 가상계좌를 통해 입금되어 상기 대부업체 명의의 대출금상환계좌에 예치됨과 동시에 자동으로 상기 대부업체 명의의 회수금집금계좌로 집금되어 상기 금융기관 명의의 회수금관리 신탁계좌에 자동으로 최종 예치된 상기 대출자의 상환된 대출원리금정보를 확인한다.",2017.04.24,주식회사 비즈모델라인,2,14,['G06Q40'],"KR20010095986A,KR20040052786A,KR20100031889A,KR20160053068A",,,4,0,B-,2,['KR'],주식회사 비즈모델라인,KR,2017,0
87,KR20220011369A,경제활동 연동 금리 변동형 대출 제공 방법{METHOD FOR INTEREST FLUCTUATING LOAN PRODUCTS OF INTERLOCKED ECONOMIC ACTIVITY},"경제활동 연동 금리 변동형 대출 제공 방법이 제공된다. 상기 경제활동 연동 금리 변동형 대출 제공 방법은 대출기간 및 금리가 포함된 대출조건을 결정하는 단계, 상기 대출조건에 따라 대출대금을 지급하는 단계, 상기 대출기간 내에 대출자의 제1 경제활동정보를 수신하는 단계 및 상기 제1 경제활동정보의 분석을 통해 상기 금리를 변경하는 단계를 포함하고, 상기 제1 경제활동정보를 수신하는 단계는, 경제활동정보 보유 플랫폼 서버에 기 저장된 상기 대출자의 쇼핑몰 별 인증정보를 기초로, 상기 대출자의 쇼핑몰 각각으로부터 해당 쇼핑몰의 인증정보에 대응하는 거래정보를 상기 제1 경제활동정보로 수신하는 단계를 포함한다.",2022.01.26,강남석,1,10,"['G06Q40', 'G06Q10', 'G06Q30']","KR20040033567A,KR20040050641A,KR20070033588A,KR20090002903A,KR20180105067A,KR20190081658A,KR20190083225A",,,7,0,B-,1,['KR'],강남석,KR,2022,0
88,KR20200083207A,대출서비스 중개시스템 및 방법{SYSTEM AND METHOD FOR BROKERING LOAN SERIVCE},"본 발명은 대출서비스를 제공하는 금융기관에 의해 운영되는 은행사서버, 상기 대출서비스의 대출상품별 가입정보를 저장하고 있는 대출상품데이터베이스를 이용하여, 상담사로부터 입력된 가입조건에 맞는 대출상품을 선별하여 제공하는 전산중개서버, 및 상담사로부터 상기 가입조건을 입력받아 상기 전산중개서버에 전송하고, 상기 전산중개서버로부터 상기 가입조건에 따른 상기 대출상품을 수신하여 화면 출력하는 상담사단말기를 포함하되, 상기 대출상품데이터베이스는, 상기 가입정보로부터 추출된 적어도 하나의 키워드 및 복수의 상기 키워드들 간 상관도를 근거로 정의된 상기 키워드들 간의 관계정보를 저장하고, 상기 전산중개서버는, 상기 관계정보를 근거로 상기 상담사단말기를 통해 입력받은 상기 가입조건과 연관된 상기 키워드를 선별하여 상기 상담사단말기에 제공하는 것을 특징으로 하는 대출서비스 중개시스템을 제공한다.",2020.07.07,김광년,2,10,"['G06Q40', 'G06Q30']","KR101055994 B1,KR1020100129016 A,KR1020110049178 A,KR1020190094738 A,KR20100109276A,KR20100129016A,KR20110049178A,KR20190094738A","JP5325229 B2,일본 특허공보  특허 제 5325229호20131023 1부",,8,0,B-,1,['KR'],김광년,KR,2020,2
89,KR20200067838A,P2P 대출 서비스 제공 장치 및 방법{Apparatus and method for providing P2P loan service},"일 실시예에 따른 대출 서비스를 제공하는 P2P 대출 서비스 제공 장치는, 프로세서; 및 상기 프로세서에 의해 실행 가능한 명령어를 저장하는 메모리를 포함하고, 상기 프로세서는, 상기 명령어에 기초하여, 대출 신청자들을 그룹원으로 하여 적어도 하나 이상의 대출 그룹을 생성하고, 각 대출 그룹에 속하는 각 그룹원들로부터 입금된 예치금 및 각 대출 그룹의 평균 대손율에 기초하여 각 그룹원의 대출 금액을 산출하며, 각 그룹원들에게 대출 금액을 송금하고, 각 대출 그룹에 속하는 그룹원들의 대출 이자 연체 또는 원금 회수 실적에 기초하여 각 대출 그룹의 평균 대손율을 갱신할 수 있다.",2020.06.04,신용균,2,8,['G06Q40'],"KR20010100744A,KR20050051113A,KR20080049323A,KR20090001850A",,,4,0,B-,1,['KR'],신용균,KR,2020,0
90,KR20210007221A,저 신용자에 대한 자산 매입방식의 대출 시스템 및 방법{Loan systems of asset purchase for low-credit borrowers and method of the same},"본 발명은 저 신용자에 대한 자산 매입방식의 대출 시스템(1) 및 방법에 관한 것이다. 그러한 대출 시스템(1)은, 결제 대행사 서버(3)와, 판매자 서버(5)와, 투자사 서버(7)와, 구매자 단말기(9)를 포함하는 저 신용자에 대한 자산 매입방식의 시스템으로서, 구매자의 대출신청을 심사 및 관리하고, 대금 및 수수료의 입출금을 관리하는 결제 대행사 서버(3)와; 구매자에게 제품을 판매하고, 결제 대행사 서버(3)와 연계하여 대금입출금을 관리하고, 투자사 서버(7)와 연계하여 판매 수수료의 입출금을 관리하는 판매자 서버(5)와; 결제 대행사 서버(3)와 연계하여 대금 및 수수료의 입출금을 관리하고, 판매자 서버(5) 및 구매자 단말기(9)와 연계하는 투자사 서버(7)와; 그리고 결제 대행사 서버(3)와 연계하여 대출 및 할부금액을 관리하고, 투자사 서버(7)와 연계하여 제품의 제공여부를 확인하고, 판매자 서버(5)와 연계하여 제품의 설치여부를 관리하는 구매자 단말기(9)를 포함한다.",2021.01.19,최진호,2,8,['G06Q40'],"KR0888323B1,KR0906433B1,KR101909667 B1,KR20050099485A,KR20090003530A,KR20100072130A,KR20180127732A,KR20190013476A,KR20200062674A,등록특허공보 제101909667호20181018 1부",,,10,0,B-,1,['KR'],최진호,KR,2021,0
91,KR20190142757A,경제활동 연동 금리 변동형 대출 제공 방법{METHOD FOR INTEREST FLUCTUATING LOAN PRODUCTS OF INTERLOCKED ECONOMIC ACTIVITY},"경제활동 연동 금리 변동형 대출 제공 방법이 제공된다. 상기 경제활동 연동 금리 변동형 대출 제공 방법은 대출기간 및 금리가 포함된 대출조건을 결정하는 단계, 상기 대출조건에 따라 대출대금을 지급하는 단계, 상기 대출기간 내에 대출자의 경제활동정보를 수신하는 단계, 상기 경제활동정보를 기초로 경제활동 건전성 또는 신용도 개선율 중 하나 이상을 포함하는 평가지표를 산출하는 단계, 상기 평가지표를 기준으로 상기 금리를 변경하는 단계, 상기 평가지표를 대출자와 유사한 사용자군과 비교하고, 비교 결과에 따라 상기 대출자에게 지급할 보상정보를 생성하는 단계, 대출자의 신용도가 제1기준치 이하로 하락하면 대출 연장 가능여부를 변경하는 단계, 상기 대출자의 신용도가 제2기준치 이하로 하락하면 상기 대출과 다른 조건의 대환대출정보를 전송하는 단계, 상기 대출요청자 또는 대출자의 경제활동정보를 신용평가모형에 적용하는 단계, 상기 신용평가모형에 따라 신용도를 산출하는 단계 및 상기 신용평가모형에 따라 산출된 신용도를 신용평가기관의 신용정보와 비교하는 단계를 포함한다.",2019.11.08,강남석,1,7,['G06Q40'],"KR20040033567A,KR20040050641A,KR20070033588A,KR20090002903A,KR20180105067A,KR20190081658A,KR20190083225A",,,7,0,B-,1,['KR'],강남석,KR,2019,0
92,KR20190136014A,상품권 통합 유통 플랫폼 연동 대출 서비스 제공시스템 및 그 방법{LOAN SERVICE SYSTEM FOR INTERLOCKING PLATFORM OF MANAGING A GIFT TOKEN AND METHOD OF THE SAME},"본 발명은 상품권 통합 유통 플랫폼 연동 대출 서비스 제공시스템 및 그 방법에 관한 것으로, 다수의 소호 판매자들이 발행을 희망하는 상품권을 통합하여 효율적이고 편리하게 발행과 관리할 수 있도록 하는 상품권 통합 유통 플랫폼에 연동하여, 상품권 발행권리의 위임으로 인해 판매자가 선지급받은 지급금 상환이 일정기간을 초과하면 자동으로 대출상품으로 전환되고, 자동 상환 속도에 반비례하여 금리가 자동으로 설정되도록 하며, 기설정 범위의 물량은 현물상환되도록 처리하여 효율적인 대출관리 및 리스크 감소가 가능한 상품권 통합 유통 플랫폼 연동 대출 서비스 제공시스템 및 그 방법을 제공함에 그 목적이 있다.",2019.10.30,남기원,2,15,"['G06Q40', 'G06Q30', 'G06Q20']","KR1152164B1,KR20090114931A,KR20110077426A,KR20150055651A,KR20160076580A",,,5,0,B-,1,['KR'],남기원,KR,2019,0
93,KR20190108673A,대출 간편 이동 서비스 제공 시스템 및 방법{System and method for providing simple loan moving service},"대출 간편 이동 서비스 제공 시스템 및 방법이 개시된다. 본 발명의 일 실시예에 따른 대출 간편 이동 서비스 제공 시스템은, 고객의 대출 정보를 수신하는 대출 정보 수신부; 상기 대출 정보에 기초하여 상기 고객의 신용 정보를 조회하고, 상기 신용 정보에 포함된 부동산의 실소유 여부를 검증하는 신용 정보 조회부; 검증 완료된 부동산 중 담보 부동산에 연결된 대출계좌번호를 추출하는 대출계좌 추출부; 및 상기 대출계좌번호를 이용하여 해지은행에 상환금 정보를 요청하는 상환금 정보 요청부를 포함할 수 있다.",2019.09.03,주식회사 피노텍,2,8,"['G06Q40', 'G06Q50']","KR1683267B1,KR20170027680A,KR20170072684A,KR20180112670A,KR20190015870A",,,5,0,B-,1,['KR'],주식회사 피노텍,KR,2019,0
94,KR20200133580A,"신용등급 상승에 필요한 통대환 서비스 제공과 재무 구조 개선을 위한 자동재투자 방식의 대출상환 방법, 장치 및 컴퓨터-판독가능 기록 매체{METHOD, APPARATUS AND COMPUTER READABLE MEDIUM OF LOAN REPAYMENT BASED ON AUTOMATIC REINVEST FOR IMPROVE FINANCE STRUCTURE AND PROVIDING FUNDREVOLVING SERVICE REQUIRED TO UPGRADE CREDIT RATING}","본 발명은 신용등급 상승에 필요한 통대환 서비스 제공과 재무 구조 개선을 위한 자동재투자 방식의 대출상환 방법, 장치 및 컴퓨터-판독가능 기록 매체에 관련된 것으로서, 신용 등급 상승 예측 모델에 채무자의 현재 신용등급 정보 및 채무 관련 정보를 입력하여, 채무자의 신용등급 상승 예상 수치인 미래 신용등급 정보를 예측함으로써, 대출 가능 여부를 판단하는 대출 가능 여부 판단 단계; 채무자의 기대출금에 대한 기존 월 상환금과, 대환대출 서비스를 지원하는 투자 업체 이용에 따른 채무자의 신규 월 상환금을 비교하여, 월 상환금의 차에 의해 발생하는 잉여자금인 제1 잉여자금을 산출하는 제1 잉여자금 산출 단계; 채무자에 의해 제출된 소득 증빙 자료를 이용하여 채무자의 소득 상승분을 예측하고, 예측된 소득 상승분에 의해 발생하는 채무자의 제2 잉여자금을 산출하는 제2 잉여자금 산출 단계; 및, 투자 업체의 대환대출 실행으로 채무자의 기대출금 상환이 완료되는 시점부터 채무자의 신용등급 상승에 따른 금융사의 신규 대출 실행 시점까지의 소요 기간 동안, 제1 잉여자금 및 제2 잉여자금이 투자 업체로 자동 투자되는 경우를 고려하여, 채무자의 기대출금에 대해 보정된 상환 계획 정보를 제공하는 상환 계획 정보 제공 단계;를 포함하는 것을 특징으로 한다.",2020.10.15,이소영,3,9,['G06Q40'],"KR101977767 B1,KR102036120 B1,KR102121476 B1,KR1683267B1,KR20000030774A,KR20180122076A,KR20200040620A",,,7,0,B-,1,['KR'],이소영,KR,2020,0
95,KR20190179468A,비대면 전자 대환 대출 중개 방법 및 이를 실행하는 시스템{METHOD OF PROVIDING UNTACT ELECTRONIC LOAN BROKERAGE AND SYSTEM PERFORMING THE SAME},"본 발명에 따른 전자 대환 대출 중개 방법은 대환 대출 금융 서버가 사용자의 대환 대출 요청에 따라 기존 대출 조회 요청 메시지를 대환 대출 중개 서버에 제공하는 단계, 상기 대환 대출 중개 서버가 상기 기존 대출 조회 요청 메시지를 수신하면, 상기 기존 대출 조회 요청 메시지를 기존 대출 금융 서버에 제공하는 단계, 상기 대환 대출 중개 서버가 상기 기존 대출 금융 서버로부터 상기 기존 대출 조회 요청 메시지에 대한 응답으로 기존 대출 조회 응답 메시지를 수신하면, 상기 기존 대출 조회 응답 메시지를 상기 대환 대출 금융 서버에 제공하는 단계, 상기 대환 대출 금융 서버가 상기 기존 대출 조회 응답 메시지를 기초로 대환 대출 금액을 입금처리한 후 근저당 설정 요청 메시지를 전자 등기 시스템을 통해 법무 대리인 단말에 제공하는 단계, 상기 기존 대출 금융 서버가 상기 대환 대출 금액의 입금이 확인되면, 상환 영수증, 해지 증서 및 등기 위임장을 생성하여 상기 대환 대출 중개 서버에 제공하는 단계, 상기 대환 대출 중개 서버가 상기 상환 영수증 및 상기 해지 증서 및 등기 위임장을 상기 대환 대출 금융 서버에 제공하고, 상기 대환 대출 금융 서버가 상기 상환 영수증을 대환 대출 신청 고객 단말에 제공하는 단계, 상기 대환 대출 중개 서버 또는 상기 기존 대출 금융 서버가 상기 해지 증서 및 등기 위임장을 포함하는 기존 대출 말소 요청 메시지를 전자 등기 시스템을 통해 법무 대리인 단말에 제공하는 단계 및 상기 법무 대리인 단말이 상기 기존 대출 말소 요청 메시지 및 상기 근저당 설정 요청 메시지를 기초로 등기소 서버에 접속하여 근저당 말소 및 설정을 연건으로 처리하는 단계를 포함한다.",2019.12.31,김규한,2,8,['G06Q40'],"KR1378136B1,KR1683267B1,KR20040033567A,KR20050082067A,KR20070010357A,KR20070023810A,KR20090103109A,KR20140104251A,KR20170027680A",,,9,0,B-,1,['KR'],김규한,KR,2019,0
96,KR20190067661A,주식 배당권 담보대출 시스템 및 방법{dividend loan system and method},본 발명은 배당 기준일 이후 배당금을 받을 수 있는 권리가 있음에도 불구하고 배당금의 지급이 늦어져 생기는 불편함을 해소할 수 있도록 대출자의 배당권을 담보로 대출을 실행하여 미리 유동성을 공급하고 배당금이 지급되면 자동으로 대출금을 상환하는 주식 배당권 담보 대출 시스템 및 방법을 제공한다.,2019.06.10,이두용,2,4,['G06Q40'],"KR20070090491A,KR20070090492A,KR20100094297A",,,3,0,B-,1,['KR'],이두용,KR,2019,0
97,KR20180123258A,"고객에게 대출 상품을 제공하는 방법, 전자 장치 및 컴퓨터 판독 가능한 기록 매체{METHOD, ELECTRONIC APPARATUS AND COMPUTER READABLE RECORDING MEDIUM FOR PROVIDING LOAN PRODUCT TO CUSTOMER}","전자 장치에서 고객에게 대출 상품을 제공하는 방법은, 대출을 신청한 고객의 전자 장치로부터, 대출 가능 여부 결정과 상기 고객에게 제공할 대출 상품 결정에 이용되는 상기 고객의 고객 정보 및 상기 고객이 신청한 대출에 대한 대출 신청 정보를 수신하는 단계, 상기 고객 정보 및 상기 대출 신청 정보에 기초하여, 미리 설정된 복수의 제1 대출 상품 중, 상기 고객에게 제공 가능한 복수의 제2 대출 상품을 결정하는 단계, 상기 고객에 대하여 산출된 상기 복수의 제2 대출 상품 각각의 대출 한도 금액, 금리 및 대출 기간에 기초하여, 상기 복수의 제2 대출 상품 각각에 대한 우선 순위를 결정하는 단계, 상기 대출 신청 정보를 통해 확인되는 대출 신청 금액 및 상기 복수의 제2 대출 상품 각각의 우선 순위에 기초하여, 상기 복수의 제2 대출 상품 중, 상기 고객에게 제공할 복수의 제3 대출 상품을 결정하는 단계 및 상기 결정된 복수의 제3 대출 상품에 대한 정보를 상기 고객의 전자 장치로 송신하는 단계를 포함할 수 있다.",2018.10.16,주식회사 전북은행,3,13,"['G06Q40', 'G06Q10']","KR20020017577A,KR20080094862A,KR20100011839A,KR20100101300A,KR20100101546A,KR20130008130A",JP2002229631 A,KR2221102B1,6,1,B-,3,['KR'],주식회사 전북은행,KR,2018,1
98,KR20180139090A,셀러론 서비스 시스템 및 방법{Seller loan service system and Method thereof},"적어도 하나의 셀러 단말기 및 적어도 하나의 마켓 단말기와 네트워크망을 통해 연결되는 셀러론 서비스 시스템의 셀러론 서비스 방법이 개시된다. 본 발명은, 서버가 마켓 단말기와 대출에 대한 총한도 약정을 하는 단계; 상기 서버가 상기 셀러 단말기와 한도약정 및 채권 양수도를 하는 단계; 소비자가 마켓에서 구매를 한 후 결제가 이루어지고 나서, 마켓 단말기로부터 매출정보를 전송받는 단계; 서버가 상기 셀러 단말기로 선정산을 하여 대출을 집행하는 단계; 소정 기간 경과후 상기 마켓 단말기로부터 정산금이 상기 서버 또는 서버의 입금계좌로 입금되는 단계; 상기 서버가 상기 정산금으로 대출금 상환처리를 하고 잔여금액을 상기 셀러가 지정한 계좌로 입금처리하는 단계를 포함하고, 온라인쇼핑몰을 통해 물품을 판매한 셀러회원들의 대출 요청에 따라, 해당 벤더회원의 물품 판매현황과 온라인쇼핑몰 간의 정산예정금액에 대응하여 소정 금액을 대출하고, 수정의 심사과정을 통해 대출가능금액을 자동 산출하고, 대출을 수행할 수 있다.",2018.11.13,주식회사 국민은행,1,2,['G06Q40'],"KR1404486B1,KR1733673B1,KR20100023768A,KR20140125925A,KR20170128746A",,"KR20220071092A,KR2384946B1",5,2,B-,3,['KR'],주식회사 국민은행,KR,2018,0
