대분류,중분류,ipc,title,ipc_sub
기계ㆍ소재,정밀생산기계,H01L21/*,반도체 장치 또는 고체 장치 또는 그러한 부품의 제조 또는 처리에 특별히 적용되는 방법 또는 장비 [2006.01],H01L
기계ㆍ소재,정밀생산기계,B24B*,"연삭 또는 연마하기 위한 기계, 장치 또는 공정(전기부식(electro-erosion)에 의한 것 B23H; 연삭 입자 또는 관련된 것의 분사 B24C; 전해에칭(electrolyticetching)또는 전해연마 C25F 3/00); 마모면의 드레싱 또는 정상화; 연삭제, 연마제 또는 랩핑제(LAPPING-AGENTS)의 공급 [1974.07]",B24B
기계ㆍ소재,정밀생산기계,B24C*,연마제(ABRASIVE) 또는 입상 물질(PARTICULATE MATERIAL)의 분사(BLASTING),B24C
기계ㆍ소재,정밀생산기계,B27C5/*,"특수한 외형의 가공 또는 특수하게 성형된 공작물의 가공을 위하여 설계된 기계, 예. 회전 커터에 의하는 것; 그것을 위한 장비(선삭 B27C 7/00; 모방 장치의 특징 B23Q 35/00; 슬로팅, 장부 가공(mortising), 홈 가공 B27F) [2006.01]",B27C
기계ㆍ소재,정밀생산기계,B27G17/*,손대패(Hand planes) [2006.01],B27G
기계ㆍ소재,정밀생산기계,B28D5/*,"보석류, 결정체의 정밀 가공, 예. 반도체의 재료; 그에 의한 장치(연마 또는 윤내기에 의한 가공 B24; 미술적 목적의 것 B44B; 기계적 방법에 의하지 않는 것 C04B 41/00; 단결정의 기계적이 아닌 후처리 C30B 33/00) [2006.01]",B28D
기계ㆍ소재,정밀생산기계,B22F3/*,성형 또는 소결 방법에 특징이 있는 금속분말에서의 공작물 또는 물품의 제조; 특히 그것에 적합한 장치 [2006.01],B22F
기계ㆍ소재,정밀생산기계,B23K15/*,전자빔 용접 또는 절단(전자빔 또는 이온빔관 H01J 37/00) [2006.01],B23K
기계ㆍ소재,정밀생산기계,G03F7/*,"사진제판법, 예 사진석판법에 의한 요철화 또는 패턴화된 표면의 제조, 예. 인쇄표면의 제조 그것을 위한 재료, 예. 포토레지스트로 된 것 그것을 위하여 특히 적합한 장치(특수 제조법을 위한 포토레지스트 구조의 사용은 관련된 곳, 예 B44C, H01L, 예 H01L 21/00, H05K를 참고) [2006.01]",G03F
기계ㆍ소재,정밀생산기계,G03H1/*,"홀로그램을 얻기 위해 또는 그것들로부터 상을 얻기 위해 광, 적외 또는 자외파를 사용한 홀로그래픽 처리 또는 장치 거기에 특유한 세부 [2006.01]",G03H
기계ㆍ소재,정밀생산기계,H05K3/*,인쇄 회로를 제조하기 위한 장치 또는 방법 [2006.01],H05K
기계ㆍ소재,정밀생산기계,B23K1/*,"솔더링, 즉 브레이징, 또는 비솔더링(B23K 3/00이 우선; 특수한 재료, 매제를 사용함으로서만 특징을 갖는 것 B23K 35/00; 인쇄 회로 제작에 있어서 침지 또는 웨이브 솔더링 H05K 3/34) [2006.01]",B23K
기계ㆍ소재,정밀생산기계,B23K103/*,"솔더링, 용접 또는 절단되는 재료 [2006.01]",B23K
기계ㆍ소재,정밀생산기계,B23K26/*,"레이저 빔에 의한 가공, 예. 용접, 절단, 천공(boring) [2014.01]",B23K
기계ㆍ소재,정밀생산기계,B23K3/*,"용도가 특수하지 않는 솔더링, 예. 브레이징 또는 비솔더링을 위한 공구, 장치 또는 지그(Jig) (납땜용 재료 B23K 35/00) [2006.01]",B23K
기계ㆍ소재,정밀생산기계,B23P25/*,"공구의 작용 또는 공작물의 바라는 최종 상태의 달성을 촉진하도록 기계 가공전 또는 가공중에 하는 공작물에의 보조 처리, 예. 내부 응력의 제거 [2006.01]",B23P
기계ㆍ소재,정밀생산기계,B23Q11/*,"공구 또는 기계의 부품을 양호한 작업 상태로 유지하기 위하여 또는 공작물을 냉각시키기 위하여 공작 기계에 적합한 부속 장치 특히 공작 기계에 결합되거나 배치되거나 또는 공작 기계에 적용되어 사용하기 위하여 부가하는 안전 장치(보오링머신 또는 드릴링머신에 관하여는 B23B 47/24, B23B 47/32가 우선; 안전 장치 일반 F16P) [2006.01]",B23Q
기계ㆍ소재,정밀생산기계,B29C*,"플라스틱의 성형 또는 접합; 소성 상태에 있는 물질의 성형으로서 달리 분류되지 않는 것; 성형품의 후처리, 예. 수선 (금속의 가공 B23; 연마, 광택내기 B24; 절단 B26D, B26F; 예비 성형품의 제조 B29B 11/00; 미리 연결되지 않은 층을 결합하여 적층 제품을 제조하는 것 B32B 37/00-B32B 41/00) [1985.01]",B29C
기계ㆍ소재,정밀생산기계,C08J7/*,고분자 물질로 된 물품의 화학적 처리 또는 피복(금속 재료에 의한 피복 C23C; 금속의 전기 증착 C25) [2006.01],C08J
기계ㆍ소재,정밀생산기계,C08J9/*,다공성 또는 기공 물품 또는 물질을 만들기 위한 고분자 물질의 처리; 그 후처리(다공성 또는 기공 물품의 제조를 위한 플라스틱 또는 가소 상태에 있는 물질의 성형에 있어서의 기계적 특징 B29C) [2006.01],C08J
기계ㆍ소재,정밀생산기계,C23C14/*,"피복형성 재료의 진공증착, 스퍼터링, 또는 이온주입에 의한 코팅 [2006.01]",C23C
기계ㆍ소재,정밀생산기계,C23C16/*,"가스상 화합물의 분해에 의한 화학적 피복, 단 표면재료의 반응생성물을 피복층중에 남기지 않는것, 즉 화학증착법(반응성 스퍼터링 또는 진공증착 14/00) [2006.01]",C23C
기계ㆍ소재,정밀생산기계,F21V13/*,F21V 1/00 - F21V 11/00의 둘 이상의 메인 그룹에 명시된 요소의 조합에 의해 방출되는 광의 특성 또는 분포의 생성 (controlling the distribution of the light emitted by adjustment of elements F21V 14/00) [2006.01],F21V
기계ㆍ소재,정밀생산기계,G01R1/*,G01R 5/00에서 G01R 13/00 또는 G01R 31/00 그룹에 의해 커버되는 형태의 기기 또는 장치의 세부(전기적 소비의 측정을 위한 전기 기계에 관한 배치에 특정되는 세부 구조 G01R 11/02) [2006.01],G01R
기계ㆍ소재,정밀생산기계,G06T7/*,이미지 분석 [2017.01],G06T
기계ㆍ소재,정밀생산기계,H01J37/*,"방전에 노출되는(exposed) 물체 또는 재료를 도입하는 설비가 있는 전자관, 예. 그 시험 또는 처리를 위한 것(H01J 33/00, H01J 40/00, H01J 41/00, H01J 47/00, H01J 49/00 우선) [2006.01]",H01J
기계ㆍ소재,정밀생산기계,H01K1/*,세부 [2006.01],H01K
기계ㆍ소재,정밀생산기계,H01S3/*,"레이저, 즉. 적외선, 가시광 또는 자외선 파장 범위에서 전자기 방사의 유도방출을 이용하는 장치 (반도체 레이저 H01S5/00) [2006.01]",H01S
기계ㆍ소재,정밀생산기계,C23F1/*,화학적방법에 의한 금속질재료의 에칭 [2006.01],C23F
기계ㆍ소재,정밀생산기계,C23F3/*,화학적방법에 의한 금속의 광내기 [2006.01],C23F
기계ㆍ소재,정밀생산기계,C23F4/*,그룹 1/00 또는 3/00에 분류되지 않은 방법으로 표면의 금속재료를 하기 위한 방법 [2006.01],C23F
기계ㆍ소재,정밀생산기계,G05B*,"제어계 또는 조정계 일반; 이와 같은 계의 기능요소; 이와 같은 계 또는 요소의 감시 또는 시험장치(액체압 액츄에이터 또는 유체적 수단으로 동작하는 계 일반 F15B; 밸브 자체 F16K; 기계적 구성 만을 특징으로 하는 것 G05G; 검출요소는 적절한 서브클래스를 참조, 예. G12B 또는 G01, H01의 서브클래스; 보정유닛은 적절한 서브클래스를 참조, 예. H02K)",G05B
기계ㆍ소재,정밀생산기계,B21D22/*,"무절삭 성형, 찍어내기(스탬핑, stamping), 스피닝 또는 깊이뽑기(딥드로잉)(강성의 장치, 공구, 가소성이 있는 또는 탄성의 패드(Pads)를 사용하는것 이외에는 B21D26/00) [2006.01]",B21D
기계ㆍ소재,정밀생산기계,B30B11/*,"입자상 또는 가소 상태의 물질에서 일정 형상물을 만들기 위해 특별히 적합한 프레스, 예. 브라켓 프레스, 타블렛 프레스 (도우의 성형을 위한 것 A21C3/00, A21C11/00； 점토 또는 시멘트를 포함한 혼합물의 성형용 장치 B28B； 플라스틱 또는 가소 상태의 물질의 성형용 장치 B29, 예.압축 몰딩용 장치 B29C 43/00, 압출 몰딩용 장치 B29C 47/00) [2006.01]",B30B
기계ㆍ소재,정밀생산기계,B30B15/*,프레스기의 세부 또는 부속구 프레스에 하는 보조 장치(안전 장치 F16P) [2006.01],B30B
기계ㆍ소재,정밀생산기계,B21D53/*,다른 특정물품의 제조(체인 또는 체인부품의 제조 B21L) [2006.01],B21D
기계ㆍ소재,정밀생산기계,B27N3/*,"입자 또는 섬유로부터 실질적으로 평탄한 물품, 예. 판의 제조 [2006.01]",B27N
기계ㆍ소재,정밀생산기계,G06F9/*,"프로그램 제어를 위한 장치, 예. 제어 장치 (주변 장치를 위한 프로그램 제어 G06F 13/10) [2018.01]",G06F
기계ㆍ소재,정밀생산기계,G06F11/*,"에러 검출; 에러 정정; 모니터링 (기록 매체와 변환기 사이의 상대적인 이동에 기반한 정보 저장장치에서의 에러 검출; 에러 정정; 모니터링  G11B 20/18 ; 모니터링, 즉 기록 또는 재생의 진행을 감독하는 것 g G11B 27/36; 정적 저장소 G11C 29/00) [2006.01]",G06F
기계ㆍ소재,정밀생산기계,G06J*,하이브리드 컴퓨터(광학적 하이브리드 컴퓨터 G06E 3/00; 특정 계산식에 기초한 컴퓨터 시스템 G06N; 영상데이터 처리를 위한 신경 회로망 G06T; 아날로그/디지털 변환 일반 H03M 1/00),G06J
기계ㆍ소재,정밀생산기계,G06T11/*,이차원 (2D) 화상 생성 [2006.01],G06T
기계ㆍ소재,정밀생산기계,B05B5/*,정전분무장치; 전기적으로 분무시키는 수단을 가진 분무장; 다른 전기적수단에 의하여 액체 또는 다른 유동성 물질을 분무하는 장치 [2006.01],B05B
기계ㆍ소재,정밀생산기계,B05C5/*,"액체 또는 타유동성 물질이 피가공물의 표면에 사출, 유출 또는 표면상을 자유유동되도록 한 장치(B05C 7/00, B05C 19/00이 우선) [2006.01]",B05C
기계ㆍ소재,정밀생산기계,B05D1/*,"액체나 타유동성 물질을 작용시키기 위한 방법(공정) (B05D 5/00, B05D 7/00이 우선) [2006.01]",B05D
기계ㆍ소재,정밀생산기계,B05D7/*,액체 또는 타유동성 물질을 특정의 표면에 작용시키거나 또는 특정한 액체 또는 타유동성 물질을 작용시키는데 특히 적합한 플로크(flocking)가공 이외의 공정 [2006.01],B05D
기계ㆍ소재,정밀생산기계,B21B*,"금속의 압연(B21에 포함되는 금속가공작업과 관련하여 사용되는 예비작업(보조작업)은 B21C, 롤링에 의한 벤딩은 B21D, 특별한 물건의 제조, 예를들면 롤링에 의한 스크류, 휠, 링, 배럴, 볼 제조는 B21H, 압연기에 의한 가압용접 B23K20/04 )",B21B
기계ㆍ소재,정밀생산기계,B21C*,"압연 이외의 방법에 의한 금속판, 선, 봉, 관, 프로파일 의 제조 또는 기타 반제품; 본질적으로 재료를 제거하지 아니하는 금속가공과 관련해서 사용하는 보조조작",B21C
기계ㆍ소재,정밀생산기계,B21D*,"기본적으로 재료의 제거없이 금속판, 금속관, 금속봉 또는 금속외형(Profiles)의 가공 또는 공정; 펀칭(Punching)(선재의 가공 또는 공정 B21F)",B21D
기계ㆍ소재,정밀생산기계,B21F*,"금속와이어(선재)의 가공 또는 공정 (금속의 압연 B21B; 인발에 의한 것, 재료를 실질적으로 제거하지 않은 금속가공에 관련해서 이용되는 보조작업 B21C; 물품의 묶음 B65B 13/00)",B21F
기계ㆍ소재,정밀생산기계,B21G*,"바늘, 핀 또는 금속 못의 제조",B21G
기계ㆍ소재,정밀생산기계,B21H*,"전조, 롤러가공 또는 압연에 의한 특정의 금속대상물의 제조 예. 나사, 차륜, 링, 배럴, 볼(실질적으로 판재에서 만들어진 것 B21D)",B21H
기계ㆍ소재,정밀생산기계,B21J*,"단조; 해머링(망치질); 금속 프레스; 리베팅; 단조로(금속의 압연 B21B; 단조 또는 프레스에 의한 특정한 제품의 제조 B21K; 클래딩 또는 도금법 B23K; 해머링에 의한 표면 정제 B23P 9/04; 특정물질의 폭발에 의한 표면 압축 B24C 1/10; 프레스의 일반적 특징, 고철(scrap)을 다지기 위한 프레스 B30B; 노 일반 F27)",B21J
기계ㆍ소재,정밀생산기계,B21K*,"단조 또는 금속 프레스제품의 제조, 예. 말굽, 리벳, 볼트, 차륜(본질적으로는 실질적으로 재료를 제거하지 않은 금속판의 가공에 의한 특수물품의 제조 B21D; 면재의 제조 B21F; 핀, 침, 정의 제조 B21G; 압연에 의한 특수물품의 제조 B21H; 단조기계, 프레스기계, 망치질기계, 일반 B21J; 체인의 제조 B21L, 피복(plating) B23K)",B21K
기계ㆍ소재,정밀생산기계,B21L*,금속 체인의 제조 (체인 제조 또는 주물에 의한 체인링크 B22D 25/02 ; 체인일반 F16G),B21L
기계ㆍ소재,정밀생산기계,B22F*,금속 분말의 가공; 금속분말로부터 물품의 제조; 금속분말의 제조(분말야금에 의한 합금의 제조 C22C: ); 금속 분말에 적용되는 특수 장치 또는 장비,B22F
기계ㆍ소재,정밀생산기계,B23K101/*,"납땝, 용접 또는 절단에 의해 제조되는 물품 [2006.01]",B23K
기계ㆍ소재,정밀생산기계,B23K35/*,"납땜, 용접 또는 절단을 위하여 사용되는 용접봉, 용접전극, 재료, 매제 [2006.01]",B23K
기계ㆍ소재,정밀생산기계,B23K5/*,가스 용접 [2006.01],B23K
기계ㆍ소재,정밀생산기계,B23K7/*,"화염에 의한 절단, 스카아핑(Scarfing) 또는 디서페이싱(Desurfacing) [2006.01]",B23K
기계ㆍ소재,정밀생산기계,B23Q17/*,"공작 기계에 있어서 지시 또는 측정 장치의 배치(이송 운동, 절삭 속도 또는 공구, 공작물 위치의 자동 제어 또는 조정 B23Q 15/00) [2006.01]",B23Q
기계ㆍ소재,정밀생산기계,B23Q3/*,"기계에서 정상적으로 분리할 수 있는 공작물 또는 공구의 유지, 지지 또는 위치 결정 장치(작업대 또는 면판과 같이 공작물을 고정하기 위하여 통상 떼어낼 수 없는 수단 B23Q 1/00; 자동위치조절 B23Q 15/00; 선반의 회전공구두 B23B 3/24, B23B 3/26; 회전하지 않는 공구 호울더 B23B 29/00; 터릿의 일반적 특징 B23B 29/24; 공구 또는 고착, 연결, 해체, 호울딩하기 위한 작업대) [2006.01]",B23Q
기계ㆍ소재,정밀생산기계,B27F*,"도브테일(Dovetail)가공; 장부(tenons)절단기; 목재 또는 그와 유사한 재료용 홈(Slot) 가공기; 못박기 또는 스테플링 기계(소형 못박기 또는 스테플러 공구 B25C; 목재로 부터 나오는 케이스, 트렁크 또는 상자의 제조 B27M 3/34; 건축 구조의 접합 일반, 예. 건축 구조물에 사용하는 조립못 E04B 1/38; 일반적으로 요소를 접합시키는 것, 예. 조립못 일반 F16B)",B27F
기계ㆍ소재,정밀생산기계,B27G*,"목공 또는 유사한 재료를 위한 부속 기계 또는 장치; 목공 또는 유사 재료를 위한 것; (연마를 위한 공구 B24D; 톱질용 공구 B27B 33/00; 슬롯팅(slotting) 또는 봉박음 기계 B27F 5/02 ; 톱밥, 조각, 분말 또는 그와 같은것을 제작하기 위한 공구 B27L 11/00); 목공 기계 또는 공구를 위한 안전 장치",B27G
기계ㆍ소재,정밀생산기계,B27L*,"수피 또는 기적(vestiges of branches)의 제거(임업 A01G); 목재의 분할; 단판, 나무봉, 대팻밥, 목섬유 또는 목분의 제조",B27L
기계ㆍ소재,정밀생산기계,B28D*,석재 또는 석재 유사 재료의 가공(채광과 채석을 위한 기계 및 방법 E21C),B28D
기계ㆍ소재,정밀생산기계,B33Y*,"첨삭가공, 즉. 첨삭 집합체, 첨삭복합체 또는 첨삭레이어링(Layering)에 의한 3차원[3D] 물체, 예. 3D프린팅, 스테레오그라피(Stereography) 또는 선택적 레이어 신터링(Sintering) [2015.01]",B33Y
기계ㆍ소재,정밀생산기계,B41B*,"활자의 제조, 식자 또는 해판용의 기계 또는 부속 장치; 활자; 사진적 또는 광전적 식자 장치(사진 장치 일반 G03)",B41B
기계ㆍ소재,정밀생산기계,B41C*,인쇄 판면의 제작 또는 복제 방법(인쇄 판면 작성용 사진 제판 방법 G03F; 인쇄판면 작성용의 광전적 방법 G03G),B41C
기계ㆍ소재,정밀생산기계,B41D*,"연판 인쇄를 하기 위한 인쇄 판면의 기계적 복제 장치; 인쇄 판면을 작성하기 위한 탄성 재료 또는 가소성 재료의 성형(고밀도 전류의 작용에 의한 금속의 마크부 또는 각인 B23H 9/06; 활자의 제조, 식자 또는 해판용의 기계 또는 부속 장치 B41B; 인쇄 판면의 제작 또는 복제를 하기 위한 방법 B41C; 일반적 조각 또는 양각용의 기계 또는 장치 B44B 3/00, B44B 5/00; 금속의 화학적 부식 C23F 1/00; 전해 부식 C25F 3/00; 사진 제판 복제 G03F)",B41D
기계ㆍ소재,정밀생산기계,B41F*,인쇄기 또는 프레스(Presses) (복사기 또는 오피스 인쇄기 B41L) [1985.01],B41F
기계ㆍ소재,정밀생산기계,B41G*,"금분 인쇄, 괘선 인쇄 또는 가장자리 부분에 테를 두르기 위한 장치; 인쇄와 관련하여 구멍 뚫기 위한 부속 장치(장식의 제조 B44C; 얇은 재료의 예. 매엽지, 권취지 접기 또는 펴기 B65H 45/00, B65H 47/00; 천공 일반 B26D; 매엽지 또는 권취지의 배지와 관련된 천공 B65H 35/00)",B41G
기계ㆍ소재,정밀생산기계,B41J*,"타이프 라이터; 선택적 프린팅 기구, 즉 조판 이외의 수단으로 프린팅하는 기구; 오타의 수정(세판 B41B; 특수 표면에 인쇄하는 것 B41F; 세탁 마크 B41K; 지우개 용구, 고무 지우개, 또는 지우개 장치 B43L 19/00; 프린팅 오타의 코팅에 의한 액상 수정 매체 C09D 10/00; 측정 결과의 기록 G01; 데이터의 인식 또는 표시, 디지털 방식에 의한 기록 운반체에의 기록, 예, 천공에 의한 것 G06K; 우편물 무료 송달기, 또는 티켓 인쇄기 및 발행기 G07B; 전기적 키보드 스위치 일반 H01H 13/70, H03K 17/94; 키보드 또는 유사한 장치에 관계한 부호 발생 H03M 11/00; 디지털 정보의 전송용 수신기 또는 발신기 H04L; 문서 또는 유사한 것의 전송 또는 재생, 즉 팩시밀리 전송 H04N 1/00; 그들 자신의 기능의 기록을 만드는 기계. 예. 금전 등록기. 계량기에 특별히 채택되어진 인자 기구는 관계된 서브클래스를 참조)",B41J
기계ㆍ소재,정밀생산기계,B41K*,"압인; 압인 장치 또는 번호 인자 장치(식육의 마킹 A22C 17/10; 인쇄와 결합된 엠보싱 B41F 19/00, 선택적 프린팅 기구 B41J; 장식 또는 마크의 엠보싱 B44B 5/00; 완전한 포장체의 마킹 또는 약호 붙이기 B65B 61/26; 티켓 인쇄 및 발행 장치, 요금 등록 장치, 인쇄 기구가 없는 무료 송달 장치 G07B)",B41K
기계ㆍ소재,정밀생산기계,B41L*,"사무 또는 다른 상업용의 복사 장치, 전사 장치 또는 인쇄 장치; 수신자 인쇄기 또는 그것과 유사한 인쇄기(산업용 인쇄기 B41F; 압인 장치 또는 번호 인자 장치 B41K; 시트 또는 웨이브의 취급 일반 B65H)",B41L
기계ㆍ소재,정밀생산기계,B41N*,"인쇄판 또는 포일(Foil) (감광성 재료 G03); 인쇄, 잉크 도포, 습윤(damping) 등 인쇄기에 사용되는 표면용 재료; 그 표면의 사용 준비 또는 보존",B41N
기계ㆍ소재,정밀생산기계,C03B11/*,유리의 프레스성형 [2006.01],C03B
기계ㆍ소재,정밀생산기계,C03B23/*,성형된 유리의 재성형(섬유 또는 필라멘트의 재성형 C03B 37/14) [2006.01],C03B
기계ㆍ소재,정밀생산기계,C03B29/*,유리제품의 표면연화 또는 표면용융을 위한 재가열; 불마무리(fire-polishing); 테두리용융(섬유의 후처리 C03B 37/10) [2006.01],C03B
기계ㆍ소재,정밀생산기계,C03B35/*,유리제품의 그 제조 중 이송 [2006.01],C03B
기계ㆍ소재,정밀생산기계,C08J5/*,고분자 물질을 포함하는 성형품의 제조 (반투막의 제조 B01D 67/00 - B01D 71/00) [2006.01],C08J
기계ㆍ소재,정밀생산기계,C08L33/*,"단 한 개의 탄소-탄소 이중 결합을 함유하는 하나 이상의 불포화 지방족기를 갖고, 그중 단 한 개의 지방족기가 카르복실기로 종결되어 있는 화합물, 또는 그 염, 무수물, 에스테르, 아미드, 이미드 또는 니트릴의 호모중합체 또는 공중합체의 조성물; 그런 고분자 유도체의 조성물 [2006.01]",C08L
기계ㆍ소재,정밀생산기계,C08L67/*,주사슬에 카르복실산에스테르 결합을 형성하는 반응으로 얻어지는 폴리에스테르의 조성물 (폴리에스테르-아미드의 C08L 77/12; 폴리에스테르-이미드의 C08L 79/08);그러한 고분자 유도체의 조성물 [2006.01],C08L
기계ㆍ소재,정밀생산기계,C09J115/*,"고무 유도체를 기재로 하는 접착제(C09J 111/00, C09J 113/00이 우선) [2006.01]",C09J
기계ㆍ소재,정밀생산기계,C25D1/*,전기주조 [2006.01],C25D
기계ㆍ소재,정밀생산기계,D01D5/*,"필라멘트, 사 또는 유사물의 형성 [2006.01]",D01D
기계ㆍ소재,정밀생산기계,D02G3/*,"사 또는 가연사, 예. 장식사; 다른 류에 분류되지 아니한사 또는 가연사를 제조하기 위한 방법 및 장치(권축사의 제조 D02G 1/00) [2006.01]",D02G
기계ㆍ소재,정밀생산기계,D04H1/*,전부 또는 대부분이 스테이플섬유(staple fibers) 또는 유사한 비교적 짧은 섬유로 구성된 부직포 [2006.01],D04H
기계ㆍ소재,정밀생산기계,G04B*,"기계적 구동의 시계 또는 휴대시계; 시계 또는 휴대시계의 기계적 부분일반; 태양, 달 또는 별의 위치를 이용한 시계(용수철이나 중력에 의해 움직여지는 기구일반 F03G; 전기기계시계 또는 휴대전기기계시계 G04C; 미리 선정된 시각 또는 미리 정해진 시간간격 후에 임의의 장치를 조작하는 부속수단 또는 조립수단을 가진 전기기계시계 G04C 23/00; 정지장치가 있는 시계 또는 휴대시계 G04F 7/08; 움직이는 부분이 없는 전자시계에 특히 적합한 구조상 세부, 또는 하우징 G04G 17/00)",G04B
기계ㆍ소재,정밀생산기계,G04C*,"전기기계시계 또는 휴대전기기계시계(시계 또는 휴대시계의 기계부분일반 G04B; 가동부분을 갖지 않는 전자시계, 타이밍펄스를 발생하기 위한 전자회로 G04G)",G04C
기계ㆍ소재,정밀생산기계,G04D*,시계나 휴대시계의 제작 또는 유지하기 위하여 특별히 설계된 장비 또는 공구,G04D
기계ㆍ소재,정밀생산기계,G04G19/*,전자시계에 사용되는 전원공급회로 [2006.01],G04G
기계ㆍ소재,정밀생산기계,G04R*,무선 제어 시계 [2013.01],G04R
